,Date,ALPINE,ANZA-BORREGO SPRINGS,CARLSBAD,CENTRAL SAN DIEGO,CHULA VISTA,COASTAL,CORONADO,DEL MAR-MIRA MESA,EL CAJON,ELLIOTT-NAVAJO,ESCONDIDO,FALLBROOK,HARBISON CREST,JAMUL,KEARNY MESA,LA MESA,LAGUNA-PINE VALLEY,LAKESIDE,LEMON GROVE,MID-CITY,MIRAMAR,MOUNTAIN EMPIRE,NATIONAL CITY,NORTH SAN DIEGO,OCEANSIDE,PALOMAR-JULIAN,PAUMA,PENDLETON,PENINSULA,POWAY,RAMONA,SAN DIEGUITO,SAN MARCOS,SANTEE,SOUTH BAY,SOUTHEASTERN SAN DIEGO,SPRING VALLEY,SWEETWATER,UNIVERSITY,VALLEY CENTER,VISTA
14,2020-04-15,-0.001,-0.0,-0.005,-0.006,-0.006,-0.002,-0.001,-0.006,-0.007,-0.005,-0.009,-0.003,-0.001,-0.002,-0.007,-0.003,-0.001,-0.006,-0.002,-0.009,-0.001,-0.001,-0.003,-0.004,-0.008,-0.001,-0.001,-0.002,-0.002,-0.004,-0.003,-0.002,-0.006,-0.004,-0.007,-0.009,-0.005,-0.009,-0.003,-0.002,-0.007
15,2020-04-16,-0.001,-0.0,-0.005,-0.005,-0.006,-0.002,-0.001,-0.005,-0.007,-0.005,-0.008,-0.003,-0.001,-0.002,-0.006,-0.003,-0.001,-0.006,-0.002,-0.009,-0.001,-0.001,-0.003,-0.004,-0.007,-0.001,-0.001,-0.002,-0.002,-0.004,-0.003,-0.002,-0.005,-0.003,-0.006,-0.009,-0.005,-0.008,-0.003,-0.002,-0.007
16,2020-04-17,-0.001,-0.0,-0.004,-0.005,-0.005,-0.002,-0.001,-0.005,-0.006,-0.005,-0.007,-0.003,-0.001,-0.002,-0.006,-0.003,-0.001,-0.005,-0.002,-0.008,-0.001,-0.001,-0.003,-0.004,-0.006,-0.0,-0.001,-0.002,-0.002,-0.004,-0.002,-0.002,-0.005,-0.003,-0.006,-0.008,-0.004,-0.007,-0.002,-0.002,-0.006
17,2020-04-18,-0.001,-0.0,-0.003,-0.004,-0.004,-0.002,-0.001,-0.003,-0.004,-0.004,-0.005,-0.002,-0.001,-0.001,-0.004,-0.003,-0.001,-0.003,-0.001,-0.007,-0.001,-0.001,-0.002,-0.002,-0.004,-0.0,-0.0,-0.001,-0.001,-0.003,-0.002,-0.001,-0.003,-0.002,-0.004,-0.006,-0.003,-0.005,-0.002,-0.001,-0.004
18,2020-04-19,-0.0,-0.0,-0.001,-0.003,-0.002,-0.002,-0.001,-0.002,-0.003,-0.003,-0.003,-0.001,-0.001,-0.001,-0.003,-0.002,-0.001,-0.002,-0.001,-0.005,-0.0,-0.0,-0.002,-0.001,-0.003,-0.0,-0.0,-0.001,-0.001,-0.002,-0.001,-0.0,-0.002,-0.001,-0.003,-0.004,-0.002,-0.003,-0.001,-0.001,-0.003
19,2020-04-20,0.0,-0.0,-0.0,-0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.002,-0.001,-0.001,-0.0,-0.0,-0.002,-0.002,-0.0,-0.001,-0.0,-0.004,-0.0,-0.0,-0.001,-0.0,-0.001,-0.0,-0.0,0.0,-0.001,-0.001,-0.001,0.0,-0.001,-0.001,-0.002,-0.003,-0.001,-0.002,-0.001,-0.0,-0.002
20,2020-04-21,0.0,-0.0,0.001,-0.001,-0.0,-0.001,-0.001,0.001,-0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.002,-0.001,-0.0,0.0,-0.0,-0.002,-0.0,0.0,-0.001,0.0,-0.0,-0.0,0.0,0.001,-0.0,-0.0,-0.0,0.001,0.0,-0.001,-0.001,-0.001,-0.0,-0.0,-0.0,0.0,-0.0
21,2020-04-22,0.001,-0.0,0.002,0.0,0.001,-0.0,-0.0,0.002,0.001,0.001,0.002,0.001,-0.0,0.0,-0.001,-0.0,0.0,0.002,0.0,-0.001,-0.0,0.0,-0.0,0.001,0.001,-0.0,0.0,0.001,-0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.001
22,2020-04-23,0.001,-0.0,0.003,0.001,0.002,-0.0,-0.0,0.003,0.002,0.002,0.003,0.001,0.0,0.001,0.001,0.0,0.0,0.003,0.001,0.001,-0.0,0.0,0.0,0.002,0.002,0.0,0.0,0.001,0.0,0.002,0.001,0.001,0.002,0.001,0.001,0.003,0.002,0.002,0.0,0.001,0.002
23,2020-04-24,0.001,-0.0,0.004,0.002,0.003,0.0,0.0,0.004,0.003,0.003,0.004,0.002,0.0,0.001,0.002,0.001,0.001,0.004,0.001,0.003,-0.0,0.0,0.001,0.003,0.004,0.0,0.001,0.001,0.001,0.002,0.001,0.002,0.003,0.001,0.002,0.004,0.003,0.004,0.001,0.001,0.004
24,2020-04-25,0.001,-0.0,0.005,0.003,0.003,0.001,0.0,0.005,0.004,0.003,0.005,0.002,0.001,0.001,0.003,0.001,0.001,0.004,0.001,0.004,-0.0,0.0,0.001,0.003,0.004,0.0,0.001,0.001,0.001,0.003,0.002,0.002,0.004,0.002,0.003,0.005,0.004,0.004,0.001,0.001,0.004
25,2020-04-26,0.001,0.0,0.005,0.004,0.004,0.001,0.001,0.005,0.004,0.004,0.006,0.002,0.001,0.001,0.004,0.002,0.001,0.004,0.002,0.005,-0.0,0.001,0.001,0.004,0.005,0.0,0.001,0.001,0.001,0.003,0.002,0.002,0.005,0.002,0.004,0.006,0.004,0.005,0.001,0.001,0.005
26,2020-04-27,0.001,0.0,0.006,0.004,0.004,0.001,0.001,0.006,0.005,0.004,0.007,0.003,0.001,0.001,0.005,0.002,0.001,0.005,0.002,0.006,-0.0,0.0,0.001,0.004,0.005,0.0,0.001,0.001,0.002,0.004,0.002,0.002,0.005,0.003,0.004,0.006,0.005,0.005,0.001,0.001,0.005
27,2020-04-28,0.001,0.0,0.006,0.005,0.004,0.002,0.001,0.006,0.005,0.005,0.007,0.003,0.001,0.001,0.006,0.002,0.001,0.005,0.002,0.006,0.0,0.0,0.002,0.005,0.006,0.0,0.001,0.001,0.002,0.004,0.003,0.002,0.006,0.003,0.004,0.006,0.005,0.005,0.001,0.001,0.005
28,2020-04-29,0.001,0.0,0.006,0.005,0.004,0.002,0.001,0.006,0.006,0.005,0.007,0.003,0.002,0.001,0.006,0.003,0.0,0.005,0.002,0.007,0.0,0.0,0.002,0.005,0.006,0.0,0.001,0.001,0.002,0.004,0.003,0.002,0.006,0.003,0.005,0.006,0.006,0.006,0.002,0.002,0.006
29,2020-04-30,0.001,0.0,0.006,0.005,0.004,0.002,0.001,0.006,0.006,0.005,0.008,0.003,0.002,0.001,0.007,0.003,0.0,0.005,0.002,0.007,0.0,0.0,0.002,0.005,0.006,0.0,0.001,0.001,0.002,0.004,0.003,0.002,0.006,0.004,0.005,0.006,0.005,0.006,0.002,0.002,0.005
30,2020-05-01,0.001,0.0,0.006,0.005,0.004,0.002,0.001,0.006,0.006,0.005,0.007,0.002,0.002,0.001,0.007,0.003,0.0,0.005,0.002,0.007,0.0,0.0,0.002,0.006,0.006,0.0,0.001,0.001,0.002,0.004,0.003,0.002,0.006,0.004,0.005,0.006,0.005,0.006,0.002,0.002,0.005
31,2020-05-02,0.001,0.0,0.006,0.005,0.004,0.002,0.001,0.006,0.006,0.005,0.007,0.002,0.002,0.002,0.007,0.003,0.0,0.005,0.002,0.006,0.0,0.0,0.002,0.006,0.006,0.0,0.001,0.001,0.002,0.004,0.003,0.002,0.006,0.004,0.004,0.006,0.005,0.006,0.001,0.002,0.005
32,2020-05-03,0.001,0.0,0.006,0.004,0.004,0.002,0.001,0.006,0.006,0.005,0.007,0.002,0.002,0.002,0.006,0.003,0.0,0.005,0.002,0.005,0.0,0.0,0.002,0.006,0.006,0.0,0.001,0.001,0.002,0.005,0.003,0.002,0.006,0.004,0.004,0.006,0.005,0.006,0.001,0.002,0.005
33,2020-05-04,0.001,0.0,0.006,0.003,0.004,0.001,0.001,0.006,0.006,0.005,0.007,0.002,0.002,0.002,0.005,0.003,0.0,0.005,0.001,0.003,0.0,0.0,0.002,0.006,0.005,0.0,0.001,0.001,0.002,0.005,0.003,0.003,0.006,0.004,0.004,0.006,0.005,0.006,-0.001,0.002,0.004
